hint_1|Tay Trắng không nên quá tin tưởng vào Naked Eye, ngược lại cũng không.
hint_2|Bạn đang chiến đấu chống lại ai, bạn đang giúp ai và trận chiến diễn ra ở đâu xác định vương quốc đồng minh nào để ý và có thể đánh giá cao nỗ lực của bạn.
hint_3|Hướng đạo sinh là nguồn thông tin cho một Vương quốc, cũng như các tù nhân bị kéo đến ngục tối của họ để tra tấn và thẩm vấn. Giải phóng tù nhân và cử trinh sát có thể làm mù mắt kẻ thù.
hint_4|Hãy nhớ rằng bạn có một giá trị Điểm Tài nguyên khác nhau trong mỗi Vương quốc, điều này cho phép bạn được cung cấp trang thiết bị và quân đội trong Vương quốc đó.
hint_5|Sự sụp đổ quân sự của một vương quốc là không thể đảo ngược. Mordor không bao giờ có thể chịu số phận như vậy, nhưng chiến tranh sẽ kết thúc nếu sức mạnh quân sự của nó bị kiềm chế và tất cả đồng minh của nó bị đánh bại.
hint_6|Cần có đầu óc tỉnh táo (INT) để tránh làm Nazgul hoảng sợ. Cần kiểm soát hoàn hảo con ngựa của một người để tránh nó hoảng sợ.
hint_7|Bạn có thể dừng lại trên bản đồ thế giới bằng cách nhấn giữ phím cách. Tuy nhiên, các thành viên trong nhóm bị thương sẽ nhanh hơn khi nghỉ ngơi trong các thành phố.
hint_8|Để nhanh chóng yêu cầu và tặng các vật phẩm trong cửa sổ kiểm kê, hãy giữ phím điều khiển khi bạn nhấp chuột trái.
hint_9|You can leave any location instantly by pressing the tab key, and press Backspace key during battle to bring the command interface.
hint_10|" Không làm mà đòi ăn, chỉ có ăn đầu bùi ăn cức " - Huấn Rose
hint_11|Nhân lực đại diện cho một nguồn lực quan trọng của một vương quốc: lấy và giữ quân đội dưới quyền chỉ huy của bạn sẽ tiêu tốn Điểm Tài nguyên của phe tương ứng.
hint_12|Bạn có thể ra lệnh cho nhóm của mình trong khi chiến đấu. Bạn có thể giữ phím shift để phóng to trong khi nhắm vào kẻ thù ở xa.
