skinkey_chin_size|下巴大小
skinkey_chin_shape|下巴形状
skinkey_chin_forward|下巴凸出
skinkey_jaw_width|下颚宽度
; skinkey_lower_lip|Lower Lip
; skinkey_upper_lip|Upper Lip
skinkey_mouth_nose_distance|嘴鼻间距
skinkey_mouth_width|嘴巴宽度
; skinkey_nostril_size|Nostril Size
skinkey_nose_height|鼻子宽度
skinkey_nose_width|鼻子宽度
skinkey_nose_size|鼻子大小
skinkey_nose_shape|鼻子形状
skinkey_nose_bridge|鼻梁高度

skinkey_eye_width|眼睛宽度
skinkey_eye_to_eye_dist|两眼间距
skinkey_eye_shape|鼻子形状
skinkey_eye_depth|眼睛深度
skinkey_eyelids|眼皮
skinkey_cheeks|脸颊
skinkey_cheek_bones|颧骨高度
skinkey_eyebrow_height|眉毛高度

skinkey_eyebrow_shape|眉毛形状
skinkey_temple_width|太阳穴宽度
skinkey_face_depth|脸部深度
skinkey_face_ratio|脸部比例
skinkey_face_width|脸部宽度
skinkey_post_edit|信息编辑
skinkey_jaw_position|下颚位置
skinkey_eyebrow_position|眉毛位置
skinkey_eyebrow_depth|眉毛深度
; skinkey_snout_height|Snout Height
; skinkey_snout_width|Snout Width
; skinkey_snout_size|Snout Size
; skinkey_snout_shape|Snout Shape
; skinkey_weight|Weight
; skinkey_mouth_shape|Mouth Shape
; skinkey_eye_size|Eye Size
; skinkey_eye_slant|Eye Slant
; skinkey_frawn|Frawn
; skinkey_mouth_vert_pos|Mouth Vert Pos
; skinkey_mouth_to_nose_dist|Mouth to Nose Dist
; skinkey_chin_width|Chin Width
