imod_plain|普 通 的 %s
imod_cracked|劣 質 的 %s
imod_rusty|粗 糙 的 %s
imod_bent|彎 曲 的 %s
imod_chipped|有 缺 口 的 %s
imod_battered|有 凹 陷 的 %s
imod_poor|劣 質 的 %s
imod_crude|簡 單 的 %s
imod_old|古 老 的 %s
imod_cheap|便 宜 的 %s
imod_fine|優 質 的 %s
imod_well_made|精 良 的 %s
imod_sharp|鋒 利 的 %s
imod_balanced|平 衡 的 %s
imod_tempered|精 鍛 的 %s
imod_deadly|致 命 的 %s
imod_exquisite|精 致 的 %s
imod_masterwork|極 品 %s
imod_heavy|重 %s
imod_strong|堅 固 的 %s
imod_powerful|強 力 的 %s
imod_tattered|破 爛 的 %s
imod_ragged|粗 糙 的 %s
imod_rough|粗 糙 的 %s
imod_sturdy|結 實 的 %s
imod_thick|強 大 的 %s
imod_hardened|加 硬 %s
imod_reinforced|加 強 %s
imod_superb|華 麗 的 %s
imod_lordly|極 品 %s
imod_lame|瘸 腿 %s
imod_swaybacked|老 %s
imod_stubborn|倔 強 的 %s
imod_timid|膽 小 的 %s
imod_meek|溫 順 的 %s
imod_spirited|活 潑 的 %s
imod_champion|一 流 的 %s
imod_fresh|新 鮮 的 %s
imod_day_old|隔 夜 的 %s
imod_two_day_old|隔 兩 夜 的 %s
imod_smelling|發 臭 的 %s
imod_rotten|腐 爛 的 %s
imod_large_bag|一 大 袋 %s
