v1
43
R O H A N |  47.939388 -34.602219  0.343207 0.105219  0.608538 0.151238  -15.631366 -47.358192  2.716896 35 100 0 0
M O R D O R |  -93.086922 23.484409  0.208657 -0.043627  0.799580 -0.042218  -96.920685 -19.906813  2.716896 35 100 0 0
G O N D O R |  -1.934677 51.412254  0.271021 0.173337  0.655409 0.148710  -46.064438 44.891586  2.716896 35 100 0 0
A n d u i n _ |  11.283734 -210.239731  0.170741 -0.092711  0.801684 -0.121255  18.562866 -230.138763  1.326534 35 100 0 0
F a n g o r n |  17.667326 -68.097168  0.414687 0.131061  0.632095 0.092396  19.292616 -93.795441  2.716896 35 100 0 0
L o r i e n |  26.600096 -126.682930  0.359316 0.138565  0.698699 0.113574  -9.002199 -119.093056  2.716896 35 100 0 0
A n o r i e n |  -11.118514 -3.531758  0.459938 0.085792  0.653398 0.098245  -43.757378 3.395675  1.326534 35 100 0 0
B a y _ o f |  11.209410 70.469772  0.363013 -0.216447  0.692680 -0.210894  -0.863444 77.346718  1.326534 60 100 0 0
B e f a l a s |  14.265828 74.748756  0.345713 -0.174081  0.677705 -0.195006  -0.634213 82.619034  1.326534 60 100 0 0
P e l e n n o r |  -52.096615 24.174030  0.370207 0.102941  0.639830 0.189562  -52.626011 12.236154  0.875467 35 100 1 0
H A R O N D O R |  -26.373108 90.205727  0.304500 0.147191  0.742048 0.134259  -67.619759 83.103661  2.716896 35 100 0 0
E N E D W A I T H |  87.245743 -2.192872  0.276407 -0.150212  0.710516 -0.162028  81.905464 -81.694778  2.716896 35 100 0 0
T h e _ B r o w n |  -55.674896 -103.816505  0.298989 -0.097389  0.661433 -0.122148  -94.790924 -105.446342  2.716896 35 100 0 0
L a n d s |  -63.280792 -98.927002  0.302457 -0.069990  0.690468 -0.090164  -87.728310 -100.013557  2.716896 35 100 0 0
M I R K W O O D |  -35.620609 -130.380722  0.237335 0.012576  0.522868 0.202450  -11.285785 -201.875366  2.716896 35 100 0 0
A n d u i n |  -36.602345 75.296257  0.362502 0.100335  0.655447 0.088136  -48.916740 56.986691  1.326534 35 100 0 0
A n d u i n |  -14.693458 -118.633698  0.343759 0.230619  0.636591 -0.068536  -30.788483 -105.685066  1.326534 35 100 0 0
G r e y _ M o u n t a i n s |  -6.949077 -242.336594  0.252606 0.085699  0.562220 -0.107622  -44.834980 -243.351166  1.326534 35 100 0 0
M i s t y _ M o u n t a i n s |  38.106266 -159.778137  0.466698 0.214424  0.707794 0.166337  17.804760 -202.327072  1.326534 35 100 0 0
W h i t e _ M o u n t a i n s |  60.141369 5.543047  0.238038 -0.038081  0.726300 -0.101734  -8.207563 28.107212  1.326534 35 100 0 0
W e t w a n g |  -44.939526 -10.346804  0.305853 0.248154  0.708092 0.271137  -40.626640 -30.342903  1.326534 35 100 0 0
D e a d |  -55.477066 -34.380447  0.355413 0.131338  0.657395 0.142814  -63.354599 -45.246010  1.326534 35 100 0 0
M a r s h e s |  -55.362331 -28.840855  0.353436 0.136554  0.670304 0.177495  -67.034325 -43.956085  1.326534 35 100 0 0
E n t w a s h |  8.132230 -29.525719  0.348552 0.179437  0.659920 0.011473  -8.113812 -13.188268  1.326534 35 100 0 0
I t h i l i e n |  -63.967793 54.091423  0.477091 0.097831  0.553762 0.055900  -61.794682 -16.580013  2.716896 35 100 0 0
R H U N |  -96.241058 -163.226868  0.337185 -0.131756  0.632933 -0.109407  -115.504921 -210.203644  2.716896 35 100 0 0
R H U D A U R |  102.810638 -170.026016  0.350203 -0.168022  0.724937 -0.185427  62.292068 -243.635117  2.716896 35 100 0 0
T h e _ W o l d |  9.087898 -89.166916  0.463814 -0.057074  0.661843 -0.070701  -14.256087 -92.153687  1.326534 35 100 0 0
U d u n |  -80.420959 -25.376564  0.272853 -0.201852  0.674138 -0.254037  -87.816330 -25.880795  1.326534 35 100 0 0
F O R O D W A I T H |  23.305719 -271.654297  0.345055 -0.092841  0.715141 -0.070593  -49.047836 -268.517578  2.716896 35 100 0 0
D a g o r l a d |  -75.690865 -40.658062  0.354663 -0.108608  0.583741 -0.138497  -109.454109 -48.403038  2.716896 35 100 0 0
D u n l a n d |  87.655525 -49.815212  0.368702 -0.235160  0.749359 0.134739  61.173969 -39.449467  2.716896 35 100 0 0
|  -57.250343 60.497887  0.330000 0.000000  0.660000 0.000000  -56.978703 60.633705  1.000000 35 100 0 0
|  -36.469952 59.682972  0.330000 0.000000  0.660000 0.000000  -36.198311 59.682972  1.000000 35 100 0 0
|  -49.508629 85.760323  0.330000 0.000000  0.660000 0.000000  -49.372807 85.896141  1.000000 35 100 0 0
|  92.080078 -142.023315  0.330000 0.000000  0.660000 0.000000  94.513412 -142.509979  1.000000 35 100 0 0
|  -1.077636 10.712935  0.330000 0.000000  0.660000 0.000000  -0.627756 10.487995  1.000000 35 100 0 0
N e a r |  -65.510170 111.055862  0.365719 -0.153800  0.470791 -0.151441  -101.140678 106.521065  2.716896 35 100 0 0
H a r a d |  -64.214516 121.097183  0.489453 -0.195085  0.673872 -0.143904  -108.914604 120.125443  2.716896 35 100 0 0
|  -60.597481 56.683613  0.330000 0.000000  0.660000 0.000000  -60.410030 56.683613  1.000000 35 100 0 0
|  -65.726112 -34.175087  0.330000 0.000000  0.660000 0.000000  -65.402199 -34.175087  1.000000 35 100 0 0
|  -61.191322 -35.470741  0.330000 0.000000  0.660000 0.000000  -60.867409 -35.470741  1.000000 35 100 0 0
|  35.399746 -30.806383  0.330000 0.000000  0.660000 0.000000  35.723660 -31.130297  1.000000 35 100 0 0
